"ID","word","total"
1,"i",15692
2,"the",11887
3,"you",11413
4,"a",8399
5,"me",6751
6,"my",6553
7,"it",5862
8,"yeah",5847
9,"to",5633
10,"and",5631
11,"i'm",4934
12,"on",4638
13,"in",4347
14,"that",3774
15,"up",3431
16,"like",3421
17,"no",2922
18,"with",2863
19,"don't",2832
20,"got",2618
21,"your",2606
22,"know",2467
23,"we",2426
24,"oh",2372
25,"of",2295
26,"all",2232
27,"but",2168
28,"for",2164
29,"just",2163
30,"be",2034
31,"ain't",1916
32,"this",1852
33,"get",1832
34,"it's",1828
35,"they",1793
36,"out",1727
37,"she",1707
38,"so",1700
39,"when",1678
40,"love",1675
41,"bitch",1632
42,"go",1582
43,"nigga",1551
44,"what",1522
45,"do",1473
46,"is",1419
47,"now",1336
48,"if",1305
49,"ooh",1276
50,"want",1234
51,"back",1232
52,"her",1213
53,"was",1191
54,"down",1181
55,"baby",1140
56,"can",1137
57,"wanna",1106
58,"shit",1105
59,"cause",1090
60,"can't",1080
61,"fuck",1079
62,"one",1055
63,"make",1043
64,"at",997
65,"been",975
66,"never",958
67,"time",953
68,"that's",949
69,"not",919
70,"see",918
71,"he",916
72,"need",888
73,"uh",888
74,"say",886
75,"from",883
76,"how",870
77,"niggas",853
78,"let",834
79,"right",784
80,"you're",758
81,"gon",751
82,"tell",748
83,"way",726
84,"take",721
85,"keep",715
86,"em",713
87,"off",698
88,"too",686
89,"ayy",666
90,"come",660
91,"some",659
92,"la",638
93,"these",636
94,"girl",634
95,"had",616
96,"feel",588
97,"put",587
98,"them",570
99,"then",564
100,"gotta",553
101,"woo",551
102,"said",525
103,"still",518
104,"have",517
105,"look",511
106,"could",510
107,"money",503
108,"think",501
109,"i'll",480
110,"where",475
111,"bad",469
112,"let's",469
113,"here",468
114,"every",466
115,"give",465
116,"i'ma",465
117,"huh",462
118,"as",459
119,"made",459
120,"lil",457
121,"about",452
122,"call",449
123,"him",449
124,"only",449
125,"hit",448
126,"good",445
127,"are",441
128,"night",440
129,"man",439
130,"even",438
131,"who",437
132,"life",434
133,"tryna",432
134,"heart",431
135,"hey",429
136,"woah",424
137,"more",416
138,"better",415
139,"ya",415
140,"around",413
141,"bout",409
142,"why",403
143,"by",400
144,"i've",397
145,"que",395
146,"gonna",384
147,"done",383
148,"really",381
149,"won't",381
150,"day",372
151,"ever",372
152,"there",371
153,"through",368
154,"new",365
155,"real",363
156,"leave",362
157,"or",362
158,"god",358
159,"over",358
160,"yo",355
161,"head",351
162,"ah",349
163,"his",348
164,"big",342
165,"us",337
166,"okay",336
167,"little",334
168,"did",332
169,"again",330
170,"run",327
171,"ass",322
172,"boy",316
173,"til",310
174,"two",305
175,"told",304
176,"hold",301
177,"stay",301
178,"home",293
179,"always",292
180,"away",287
181,"mind",284
182,"talk",284
183,"than",278
184,"would",276
185,"face",275
186,"bitches",274
187,"show",268
188,"am",266
189,"thing",265
190,"turn",263
191,"might",262
192,"straight",262
193,"alone",259
194,"damn",259
195,"same",259
196,"y",259
197,"die",256
198,"high",255
199,"light",253
200,"world",253
201,"ho",251
202,"long",251
203,"play",251
204,"eh",249
205,"everything",249
206,"doo",248
