"","artist","track","artist_track"
"1","Post Malone ","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone  Sunflower (Spider-Man: Into The Spider-Verse)"
"2","Lil Tecca","Ran$om","Lil Tecca Ran$om"
"3","Dan + Shay ","10,000 Hours","Dan + Shay  10,000 Hours"
"4","Dan + Shay","Speechless","Dan + Shay Speechless"
"5","The Black Eyed Peas X J Balvin","RITMO (Bad Boys For Life)","The Black Eyed Peas X J Balvin RITMO (Bad Boys For Life)"
"6","Dan + Shay","All To Myself","Dan + Shay All To Myself"
"7","Pedro Capo X Farruko","Calma","Pedro Capo X Farruko Calma"
"8","Sech, Darell, Nicky Jam, Ozuna ","Otro Trago","Sech, Darell, Nicky Jam, Ozuna  Otro Trago"
"9","Summer Walker X Drake","Girls Need Love","Summer Walker X Drake Girls Need Love"
"10","Young Thug, J Cole ","The London","Young Thug, J Cole  The London"
"11","YG, Tyga ","Go Loko","YG, Tyga  Go Loko"
"12","YNW Melly ","223's","YNW Melly  223's"
"13","Lunay, Daddy Yankee ","Soltera","Lunay, Daddy Yankee  Soltera"
"14","Megan Thee Stallion, Nicki Minaj ","Hot Girl Summer","Megan Thee Stallion, Nicki Minaj  Hot Girl Summer"
"15","Blake Shelton Duet With Gwen Stefani","Nobody But You","Blake Shelton Duet With Gwen Stefani Nobody But You"
"16","Layton Greene, Lil Baby, City Girls ","Leave Em Alone","Layton Greene, Lil Baby, City Girls  Leave Em Alone"
"17","Brantley Gilbert + Lindsay Ell","What Happens In A Small Town","Brantley Gilbert + Lindsay Ell What Happens In A Small Town"
"18","Jhay Cortez, J Balvin ","No Me Conoce","Jhay Cortez, J Balvin  No Me Conoce"
"19","Jhene Aiko","P*$$y Fairy (OTW)","Jhene Aiko P*$$y Fairy (OTW)"
"20","Anuel AA ","Ella Quiere Beber","Anuel AA  Ella Quiere Beber"
"21","Diplo Presents Thomas Wesley ","Heartless","Diplo Presents Thomas Wesley  Heartless"
"22","Dan + Shay","Tequila","Dan + Shay Tequila"
"23","Gucci Mane X Bruno Mars X Kodak Black","Wake Up In The Sky","Gucci Mane X Bruno Mars X Kodak Black Wake Up In The Sky"
"24","Anuel AA ","Secreto","Anuel AA  Secreto"
"25","Alec Benjamin + Alessia Cara","Let Me Down Slowly","Alec Benjamin + Alessia Cara Let Me Down Slowly"
"26","Kygo X Whitney Houston","Higher Love","Kygo X Whitney Houston Higher Love"
"27","Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA","Baila Baila Baila","Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA Baila Baila Baila"
"28","XXXTENTACION x Lil Pump ","Arms Around You","XXXTENTACION x Lil Pump  Arms Around You"
"29","Khalid x Disclosure","Know Your Worth","Khalid x Disclosure Know Your Worth"
"30","SZA X Justin Timberlake","The Other Side","SZA X Justin Timberlake The Other Side"
"31","Lil Yachty, Drake ","Oprah's Bank Account","Lil Yachty, Drake  Oprah's Bank Account"
"32","Mustard featuring NAV, Playboi Carti ","Baguettes In The Face","Mustard featuring NAV, Playboi Carti  Baguettes In The Face"
"33","Nicky Jam X Ozuna","Te Robare","Nicky Jam X Ozuna Te Robare"
"34","Yella Beezy, Gucci Mane ","Bacc At It Again","Yella Beezy, Gucci Mane  Bacc At It Again"
"35","Lil Mosey x Gunna","Stuck In A Dream","Lil Mosey x Gunna Stuck In A Dream"
"36","Moneybagg Yo X Megan Thee Stallion","All Dat","Moneybagg Yo X Megan Thee Stallion All Dat"
"37","NAV, Gunna ","Turks","NAV, Gunna  Turks"
"38","Silk City x Dua Lipa","Electricity","Silk City x Dua Lipa Electricity"
"39","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra","It's Beginning To Look A Lot Like Christmas","Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra It's Beginning To Look A Lot Like Christmas"
"40","Shawn Mendes X Zedd","Lost In Japan","Shawn Mendes X Zedd Lost In Japan"
"41","Bad Bunny X Daddy Yankee","La Santa","Bad Bunny X Daddy Yankee La Santa"
"42","DJ Regard","Ride It","DJ Regard Ride It"
"43","DJ Snake, J Balvin ","Loco Contigo","DJ Snake, J Balvin  Loco Contigo"
"44","Ed Sheeran With Chris Stapleton ","BLOW","Ed Sheeran With Chris Stapleton  BLOW"
"45","Panic! At The Disco","Into The Unknown","Panic! At The Disco Into The Unknown"
"46","Arcangel x Sech","Sigues Con El","Arcangel x Sech Sigues Con El"
"47","Bad Bunny X Anuel AA","Esta Cabron Ser Yo","Bad Bunny X Anuel AA Esta Cabron Ser Yo"
"48","DaBaby ","LIGHTSKIN SH*T","DaBaby  LIGHTSKIN SH*T"
"49","Future","F&N","Future F&N"
"50","Gunna ","Same Yung N***a","Gunna  Same Yung N***a"
"51","John ","Happy Xmas (War Is Over)","John  Happy Xmas (War Is Over)"
"52","John Legend","Happy Xmas (War Is Over)","John Legend Happy Xmas (War Is Over)"
"53","Kelsea Ballerini x Halsey","the other girl","Kelsea Ballerini x Halsey the other girl"
"54","Khalid With John Mayer","Outta My Head","Khalid With John Mayer Outta My Head"
"55","Khalid x SAFE","Don't Pretend","Khalid x SAFE Don't Pretend"
"56","Migos, Young Thug ","g n f (Give No Fxk)","Migos, Young Thug  g n f (Give No Fxk)"
"57","ScHoolboy Q + Travis Scott","CHopstix","ScHoolboy Q + Travis Scott CHopstix"
