"artist","track","track_title","line","lyric"
"Lewis Capaldi","Someone You Loved","Someone You Loved",1,"I'm going under, and this time, I fear there's no one to save me"
"Lewis Capaldi","Someone You Loved","Someone You Loved",2,"This all or nothing really got a way of driving me crazy"
"Lewis Capaldi","Someone You Loved","Someone You Loved",3,"I need somebody to heal, somebody to know"
"Lewis Capaldi","Someone You Loved","Someone You Loved",4,"Somebody to have, somebody to hold"
"Lewis Capaldi","Someone You Loved","Someone You Loved",5,"It's easy to say, but it's never the same"
"Lewis Capaldi","Someone You Loved","Someone You Loved",6,"I guess I kinda liked the way you numbed all the pain"
"Lewis Capaldi","Someone You Loved","Someone You Loved",7,"Now, the day bleeds into nightfall"
"Lewis Capaldi","Someone You Loved","Someone You Loved",8,"And you're not here to get me through it all"
"Lewis Capaldi","Someone You Loved","Someone You Loved",9,"I let my guard down and then you pulled the rug"
"Lewis Capaldi","Someone You Loved","Someone You Loved",10,"I was getting kinda used to being someone you loved"
"Lewis Capaldi","Someone You Loved","Someone You Loved",11,"I'm going under, and this time, I fear there's no one to turn to"
"Lewis Capaldi","Someone You Loved","Someone You Loved",12,"This all or nothing way of loving got me sleeping without you"
"Lewis Capaldi","Someone You Loved","Someone You Loved",13,"Now, I need somebody to know, somebody to heal"
"Lewis Capaldi","Someone You Loved","Someone You Loved",14,"Somebody to have, just to know how it feels"
"Lewis Capaldi","Someone You Loved","Someone You Loved",15,"It's easy to say, but it's never the same"
"Lewis Capaldi","Someone You Loved","Someone You Loved",16,"I guess I kinda like the way you help me escape"
"Lewis Capaldi","Someone You Loved","Someone You Loved",17,"Now, the day bleeds into nightfall"
"Lewis Capaldi","Someone You Loved","Someone You Loved",18,"And you're not here to get me through it all"
"Lewis Capaldi","Someone You Loved","Someone You Loved",19,"I let my guard down and then you pulled the rug"
"Lewis Capaldi","Someone You Loved","Someone You Loved",20,"I was getting kinda used to being someone you loved"
"Lewis Capaldi","Someone You Loved","Someone You Loved",21,"And I tend to close my eyes when it hurts sometimes"
"Lewis Capaldi","Someone You Loved","Someone You Loved",22,"I fall into your arms"
"Lewis Capaldi","Someone You Loved","Someone You Loved",23,"I'll be safe in your sound till I come back around"
"Lewis Capaldi","Someone You Loved","Someone You Loved",24,"For now, the day bleeds into nightfall"
"Lewis Capaldi","Someone You Loved","Someone You Loved",25,"And you're not here to get me through it all"
"Lewis Capaldi","Someone You Loved","Someone You Loved",26,"I let my guard down and then you pulled the rug"
"Lewis Capaldi","Someone You Loved","Someone You Loved",27,"I was getting kinda used to being someone you loved"
"Lewis Capaldi","Someone You Loved","Someone You Loved",28,"But now the day bleeds into nightfall"
"Lewis Capaldi","Someone You Loved","Someone You Loved",29,"And you're not here to get me through it all"
"Lewis Capaldi","Someone You Loved","Someone You Loved",30,"I let my guard down and then you pulled the rug"
"Lewis Capaldi","Someone You Loved","Someone You Loved",31,"I was getting kinda used to being someone you loved"
"Lewis Capaldi","Someone You Loved","Someone You Loved",32,"I let my guard down and then you pulled the rug"
"Lewis Capaldi","Someone You Loved","Someone You Loved",33,"I was getting kinda used to being someone you loved"
"Billie Eilish","Bad Guy","​bad guy",1,"White shirt now red, my bloody nose"
"Billie Eilish","Bad Guy","​bad guy",2,"Sleepin', you're on your tippy toes"
"Billie Eilish","Bad Guy","​bad guy",3,"Creepin' around like no one knows"
"Billie Eilish","Bad Guy","​bad guy",4,"Think you're so criminal"
"Billie Eilish","Bad Guy","​bad guy",5,"Bruises on both my knees for you"
"Billie Eilish","Bad Guy","​bad guy",6,"Don't say thank you or please"
"Billie Eilish","Bad Guy","​bad guy",7,"I do what I want when I'm wanting to"
"Billie Eilish","Bad Guy","​bad guy",8,"My soul? So cynical"
"Billie Eilish","Bad Guy","​bad guy",9,"So you're a tough guy"
"Billie Eilish","Bad Guy","​bad guy",10,"Like it really rough guy"
"Billie Eilish","Bad Guy","​bad guy",11,"Just can't get enough guy"
"Billie Eilish","Bad Guy","​bad guy",12,"Chest always so puffed guy"
"Billie Eilish","Bad Guy","​bad guy",13,"I'm that bad type"
"Billie Eilish","Bad Guy","​bad guy",14,"Make your mama sad type"
"Billie Eilish","Bad Guy","​bad guy",15,"Make your girlfriend mad tight"
"Billie Eilish","Bad Guy","​bad guy",16,"Might seduce your dad type"
"Billie Eilish","Bad Guy","​bad guy",17,"I'm the bad guy"
"Billie Eilish","Bad Guy","​bad guy",18,"Duh"
