"artist","track","line","lyric"
"Lil Nas X ","Old Town Road",1,"Yeah, I'm gonna take my horse to the old town road"
"Lil Nas X ","Old Town Road",2,"I'm gonna ride 'til I can't no more"
"Lil Nas X ","Old Town Road",3,"I'm gonna take my horse to the old town road"
"Lil Nas X ","Old Town Road",4,"I'm gonna ride 'til I can't no more(Kio, Kio)"
"Lil Nas X ","Old Town Road",5,"I got the horses in the back"
"Lil Nas X ","Old Town Road",6,"Horse tack is attached"
"Lil Nas X ","Old Town Road",7,"Hat is matte black"
"Lil Nas X ","Old Town Road",8,"Got the boots that's black to match"
"Lil Nas X ","Old Town Road",9,"Ridin' on a horse, ha"
"Lil Nas X ","Old Town Road",10,"You can whip your Porsche"
"Lil Nas X ","Old Town Road",11,"I been in the valley"
"Lil Nas X ","Old Town Road",12,"You ain't been up off that porch, now"
"Lil Nas X ","Old Town Road",13,"Can't nobody tell me nothin'"
"Lil Nas X ","Old Town Road",14,"You can't tell me nothin'"
"Lil Nas X ","Old Town Road",15,"Can't nobody tell me nothin'"
"Lil Nas X ","Old Town Road",16,"You can't tell me nothin'"
"Lil Nas X ","Old Town Road",17,"Ridin' on a tractor"
"Lil Nas X ","Old Town Road",18,"Lean all in my bladder"
"Lil Nas X ","Old Town Road",19,"Cheated on my baby"
"Lil Nas X ","Old Town Road",20,"You can go and ask her"
"Lil Nas X ","Old Town Road",21,"My life is a movie"
"Lil Nas X ","Old Town Road",22,"Bull ridin' and boobies"
"Lil Nas X ","Old Town Road",23,"Cowboy hat from Gucci"
"Lil Nas X ","Old Town Road",24,"Wrangler on my booty"
"Lil Nas X ","Old Town Road",25,"Can't nobody tell me nothin'"
"Lil Nas X ","Old Town Road",26,"You can't tell me nothin'"
"Lil Nas X ","Old Town Road",27,"Can't nobody tell me nothin'"
"Lil Nas X ","Old Town Road",28,"You can't tell me nothin'"
"Lil Nas X ","Old Town Road",29,"Yeah, I'm gonna take my horse to the old town road"
"Lil Nas X ","Old Town Road",30,"I'm gonna ride 'til I can't no more"
"Lil Nas X ","Old Town Road",31,"I'm gonna take my horse to the old town road"
"Lil Nas X ","Old Town Road",32,"I'm gonna ride 'til I can't no more"
"Lil Nas X ","Old Town Road",33,"I got the hor-"
"Chris Brown ","No Guidance",1,"Before I die I'm tryna fuck you, baby"
"Chris Brown ","No Guidance",2,"Hopefully we don't have no babies"
"Chris Brown ","No Guidance",3,"I don't even wanna go back home"
"Chris Brown ","No Guidance",4,"Hopefully, I don't leave you on your own"
"Chris Brown ","No Guidance",5,"Ayy"
"Chris Brown ","No Guidance",6,"Trips that you plan for the next whole week"
"Chris Brown ","No Guidance",7,"Bands too long for a nigga so cheap"
"Chris Brown ","No Guidance",8,"And your flex OD, and your sex OD"
"Chris Brown ","No Guidance",9,"You got it, girl, you got it (Ayy)"
"Chris Brown ","No Guidance",10,"You got it, girl, you got (Yeah)"
"Chris Brown ","No Guidance",11,"Pretty lil' thing, you got a bag and now you wildin'You just took it off the lot, no mileage"
"Chris Brown ","No Guidance",12,"Way they hittin' you, the DM lookin' violent"
"Chris Brown ","No Guidance",13,"Talkin' wild, you come around and now they silent"
"Chris Brown ","No Guidance",14,"Flew the coop at 17, no guidance"
"Chris Brown ","No Guidance",15,"You be stayin' low but you know what the vibes is"
"Chris Brown ","No Guidance",16,"Ain't never got you nowhere bein' modest"
"Chris Brown ","No Guidance",17,"Poppin' shit but only 'cause you know you're poppin', yeah"
"Chris Brown ","No Guidance",18,"You got it, girl, you got it (Ayy)"
"Chris Brown ","No Guidance",19,"You got it, girl, you got it"
