"artist","track","line","lyric"
"Daddy Yankee ","Con Calma",1,NA
"Daddy Yankee ","Con Calma",2,"D-D-D-D-D-DY"
"Daddy Yankee ","Con Calma",3,"Play N' Skillz"
"Daddy Yankee ","Con Calma",4,"¡Run!"
"Daddy Yankee ","Con Calma",5,"¿Cómo te llamas, baby?"
"Daddy Yankee ","Con Calma",6,"Desde que te vi supe que eras pa' mí"
"Daddy Yankee ","Con Calma",7,"Dile a tus amigas que andamo' ready"
"Daddy Yankee ","Con Calma",8,"Esto lo seguimo' en el after party"
"Daddy Yankee ","Con Calma",9,"¿Cómo te llamas, baby? (Brr, brr)"
"Daddy Yankee ","Con Calma",10,"Desde que te vi supe que eras pa' mí"
"Daddy Yankee ","Con Calma",11,"Dile a tus amigas que andamo' ready (¡Sube!)"
"Daddy Yankee ","Con Calma",12,"Esto lo seguimo' en el after party (Su-su, ey)"
"Daddy Yankee ","Con Calma",13,"Con calma, yo quiero ver como ella lo menea"
"Daddy Yankee ","Con Calma",14,"Mueve ese poom-poom, girl"
"Daddy Yankee ","Con Calma",15,"Es una asesina, cuando baila quiere que to' el mundo la vea"
"Daddy Yankee ","Con Calma",16,"I like your poom-poom, girl (Sub-sube)"
"Daddy Yankee ","Con Calma",17,"Con calma, yo quiero ver como ella lo menea"
"Daddy Yankee ","Con Calma",18,"Mueve ese poom-poom, girl"
"Daddy Yankee ","Con Calma",19,"Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea"
"Daddy Yankee ","Con Calma",20,"I like your poom-poom, girl (¡Hey!)"
"Daddy Yankee ","Con Calma",21,"Ya vi que estás solita, acompáñame"
"Daddy Yankee ","Con Calma",22,"La noche es de nosotro', tú lo sabe' (You know!)"
"Daddy Yankee ","Con Calma",23,"Que ganas me dan-dan-dan"
"Daddy Yankee ","Con Calma",24,"De guayarte, mami, ese ram-pam-pam, yeah"
"Daddy Yankee ","Con Calma",25,"Esa criminal como lo mueve e' un delito (Oh)"
"Daddy Yankee ","Con Calma",26,"Tengo que arrestarte porque empiezo y no me quito (Eh)"
"Daddy Yankee ","Con Calma",27,"Tienes criminality, pero te doy fatality"
"Daddy Yankee ","Con Calma",28,"Vívete la película flotando en mi gravity"
"Daddy Yankee ","Con Calma",29,"Daddy pone las regla', tiene' que obedecer"
"Daddy Yankee ","Con Calma",30,"Mami, no tiene pausa, ¿qué e' lo que vas a hacer?"
"Daddy Yankee ","Con Calma",31,"Échale, échale, échale pa' atrás"
"Daddy Yankee ","Con Calma",32,"Échale, échale, pa' alante y pa' atrás (Eh, ey-ey-ey)"
"Daddy Yankee ","Con Calma",33,"Con calma, yo quiero ver como ella lo menea"
"Daddy Yankee ","Con Calma",34,"Mueve ese poom-poom, girl (Girl)"
"Daddy Yankee ","Con Calma",35,"Es una asesina, cuando baila quiere que to' el mundo la vea"
"Daddy Yankee ","Con Calma",36,"I like your poom-poom, girl"
"Daddy Yankee ","Con Calma",37,"Con calma, yo quiero ver como ella lo menea (Con calma)"
"Daddy Yankee ","Con Calma",38,"Mueve ese poom-poom, girl"
"Daddy Yankee ","Con Calma",39,"Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea"
"Daddy Yankee ","Con Calma",40,"I like your poom-poom, girl"
"Daddy Yankee ","Con Calma",41,"Tú tiene' candela y yo tengo la vela"
"Daddy Yankee ","Con Calma",42,"Llama el 911, se están quemando las suela'"
"Daddy Yankee ","Con Calma",43,"Me daña cuando la faldita esa me la modela"
"Daddy Yankee ","Con Calma",44,"Mami, 'tás enferma, pero tu show no lo cancela'"
"Daddy Yankee ","Con Calma",45,"Te llaman a ti la reina del party"
"Daddy Yankee ","Con Calma",46,"Mucha sandunga tiene ese body"
"Daddy Yankee ","Con Calma",47,"Tírate un paso, no-no-no pare, ¡wow, dale, dale! (Yo')"
"Daddy Yankee ","Con Calma",48,"Somos dos bandido' entre la rumba y romance"
"Daddy Yankee ","Con Calma",49,"Y zúmbale, DJ, otra ve' pa' que dance"
"Daddy Yankee ","Con Calma",50,"Échale, échale, échale pa' atrás"
"Daddy Yankee ","Con Calma",51,"Échale, échale, pa' alante y pa' atrás (Ey, eh, ey)"
"Daddy Yankee ","Con Calma",52,"Con calma, yo quiero ver como ella lo menea (Con calma)"
"Daddy Yankee ","Con Calma",53,"Mueve ese poom-poom, girl (Girl)"
"Daddy Yankee ","Con Calma",54,"Es una asesina, cuando baila quiere que to' el mundo la vea"
"Daddy Yankee ","Con Calma",55,"I like your poom-poom, girl"
"Daddy Yankee ","Con Calma",56,"Con calma, yo quiero ver como ella lo menea (Con calma)"
"Daddy Yankee ","Con Calma",57,"Mueve ese poom-poom, girl"
"Daddy Yankee ","Con Calma",58,"Tiene adrenalina, en medio 'e la pista, vente, hazme lo que sea"
"Daddy Yankee ","Con Calma",59,"I like your poom-poom, girl (¡Snow!)"
"Daddy Yankee ","Con Calma",60,"Come with a nice young lady (What?)"
"Daddy Yankee ","Con Calma",61,"Intelligent, yes, she gentle and irie (¡Fuego!)"
"Daddy Yankee ","Con Calma",62,"Everywhere me go me never lef' her at all-ie (¡Dile!)"
"Daddy Yankee ","Con Calma",63,"Yes-a Daddy Snow me are the roam dance man-a (¡Snow!)"
"Daddy Yankee ","Con Calma",64,"Roam between-a dancin' in-a in-a nation-a (Prr-prr-prr)"
"Daddy Yankee ","Con Calma",65,"You never know say daddy me Snow me are the boom shakata (¿Qué-qué-qué-qué?)"
"Daddy Yankee ","Con Calma",66,"Me never lay-a down flat in-a one cardboard box-a (¡Sube, sube!)"
"Daddy Yankee ","Con Calma",67,"Yes-a Daddy Yankee me-a go reachin' out da top (What?)"
"Daddy Yankee ","Con Calma",68,"Con calma, yo quiero ver como ella lo menea"
"Daddy Yankee ","Con Calma",69,"Mueve ese poom-poom, girl (Girl)"
"Daddy Yankee ","Con Calma",70,"Es una asesina, cuando baila quiere que to' el mundo la vea"
"Daddy Yankee ","Con Calma",71,"I like your poom-poom, girl"
"Daddy Yankee ","Con Calma",72,"Con calma, ya' no say daddy me Snow me I go blame"
"Daddy Yankee ","Con Calma",73,"I like your poom-poom, girl"
"Daddy Yankee ","Con Calma",74,"'Tective man a say, say daddy me Snow me stop a girl down the lane"
"Daddy Yankee ","Con Calma",75,"I love your poom-poom, girl"
"Lil Baby ","Baby",1,"BABY BABY BABY BABY (CHEW)"
"YNW Melly ","Suicidal",1,"Suicidal"
"YNW Melly ","Suicidal",2,"Your love is suicidal"
"YNW Melly ","Suicidal",3,"Lately I've been feeling suicidal"
"YNW Melly ","Suicidal",4,"Your love is suicidal"
"YNW Melly ","Suicidal",5,"I thought that we were meant to be"
"YNW Melly ","Suicidal",6,"You took my heart and made it bleed"
"YNW Melly ","Suicidal",7,"I gave you all my ecstasy"
"YNW Melly ","Suicidal",8,"I know you'll be the death of me"
"YNW Melly ","Suicidal",9,"Left lipstick on my Hennessy"
"YNW Melly ","Suicidal",10,"Felt like you took my soul from me"
"YNW Melly ","Suicidal",11,"You gave me all your ecstasy"
"YNW Melly ","Suicidal",12,"I thought that we were meant to be"
"YNW Melly ","Suicidal",13,"Your love is suicidal"
"YNW Melly ","Suicidal",14,"For me, your love is suicidal"
"YNW Melly ","Suicidal",15,"To me, your love is suicidal"
"YNW Melly ","Suicidal",16,"To me, your love is suicidal"
"YNW Melly ","Suicidal",17,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",18,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",19,"I don't want to lose my conscience"
"YNW Melly ","Suicidal",20,"Drinkin' all this Hennessy"
"YNW Melly ","Suicidal",21,"Baby, you took control of me"
"YNW Melly ","Suicidal",22,"And I got too many enemies"
"YNW Melly ","Suicidal",23,"I knew you wanted to fuck him 'cause I could just tell"
"YNW Melly ","Suicidal",24,"Check my back, now I'm, now I'm in my bag, yeah"
"YNW Melly ","Suicidal",25,"You did me bad, you did me bad"
"YNW Melly ","Suicidal",26,"But I said, ""Fuck it,"" and I ran up my bag, yeah"
"YNW Melly ","Suicidal",27,"I'm in my bag, I'm in my bag now"
"YNW Melly ","Suicidal",28,"But you didn't even put it all on the line"
"YNW Melly ","Suicidal",29,"For me, no, oh, I'm sorry"
"YNW Melly ","Suicidal",30,"This is the end of us"
"YNW Melly ","Suicidal",31,"It's crazy 'cause my heart is dangerous"
"YNW Melly ","Suicidal",32,"Felt like you took my soul from me"
"YNW Melly ","Suicidal",33,"Like the devil got a hold on me"
"YNW Melly ","Suicidal",34,"Everybody wishin' bad on me"
"YNW Melly ","Suicidal",35,"Everybody wishin' bad on me"
"YNW Melly ","Suicidal",36,"You taught a lesson to me that I had to learn"
"YNW Melly ","Suicidal",37,"And I'm so sorry 'cause you let our bridges burn"
"YNW Melly ","Suicidal",38,"I said I loved you and I wish I never did"
"YNW Melly ","Suicidal",39,"I swear to God, I swear to God, you stupid bitch"
"YNW Melly ","Suicidal",40,"I thought that we were meant to be"
"YNW Melly ","Suicidal",41,"You took my heart and made it bleed"
"YNW Melly ","Suicidal",42,"I gave you all my ecstasy"
"YNW Melly ","Suicidal",43,"I know you'll be the death of me"
"YNW Melly ","Suicidal",44,"Left lipstick on my Hennessy"
"YNW Melly ","Suicidal",45,"Felt like you took my soul from me"
"YNW Melly ","Suicidal",46,"No way, I gave you all my ecstasy"
"YNW Melly ","Suicidal",47,"I thought that you were meant for me"
"YNW Melly ","Suicidal",48,"I know you'll be the death of me"
"YNW Melly ","Suicidal",49,"Thought we were for eternity"
"YNW Melly ","Suicidal",50,"You fucked me up, both physically"
"YNW Melly ","Suicidal",51,"And mentally, I can't believe"
"YNW Melly ","Suicidal",52,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",53,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",54,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",55,"I'm sippin' Hennessy-'y-'y, ooh"
"YNW Melly ","Suicidal",56,"Your love is suicidal"
"YNW Melly ","Suicidal",57,"For me, your love is suicidal"
"YNW Melly ","Suicidal",58,"To me, your love is suicidal"
"YNW Melly ","Suicidal",59,"To me, your love is suicidal"
"YNW Melly ","Suicidal",60,"You taught a lesson to me that I had to learn"
"YNW Melly ","Suicidal",61,"And I'm so sorry 'cause you let our bridges burn"
"YNW Melly ","Suicidal",62,"I said I loved you and I wish I never did"
"YNW Melly ","Suicidal",63,"I swear to God, I swear to God, you stupid bitch"
"HER ","Slide",1,"You always wearin' them glasses"
"HER ","Slide",2,"You don't wanna let no sucker look you in your eyes, huh?"
"HER ","Slide",3,"Better show off them eyelashes"
"HER ","Slide",4,"You love what you do with a passion"
"HER ","Slide",5,"Ooh, that shit attractive"
"HER ","Slide",6,"I fuck with you, girl"
"HER ","Slide",7,"All he wanna do is gas me"
"HER ","Slide",8,"How we end up in the backseat?"
